"Year","Sex","Subclassification","Value","Value Footnotes"
"1992","Women","1 Agriculture, Hunting, Forestry and Fishing","15845","2,3,4"
"1992","Women","5 Construction","16735","2,3,4"
"1992","Women","9 Community, Social and Personal Services","807344","2,3,4"

"1991","Men","1 Agriculture, Hunting, Forestry and Fishing","507","2,3,4,7"
"1991","Men","5 Construction","251759","2,3,4,7"
"1991","Men","9 Community, Social and Personal Services","634198","2,3,4,7"
"1991","Women","1 Agriculture, Hunting, Forestry and Fishing","11749","2,3,4,7"
"1991","Women","5 Construction","16952","2,3,4,7"
"1991","Women","9 Community, Social and Personal Services","740973","2,3,4,7"

"1990","Men","1 Agriculture, Hunting, Forestry and Fishing","509","2,3,4"
"1990","Men","5 Construction","236372","2,3,4"
"1990","Men","9 Community, Social and Personal Services","5746","2,3,4"
"1990","Women","1 Agriculture, Hunting, Forestry and Fishing","10921","2,3,4"
"1990","Women","5 Construction","13769","2,3,4"
"1990","Women","9 Community, Social and Personal Services","658095","2,3,4"

"1989","Men","1 Agriculture, Hunting, Forestry and Fishing","374","2,3,4"
"1989","Men","5 Construction","201384","2,3,4"
"1989","Men","9 Community, Social and Personal Services","511251","2,3,4"
"1989","Women","1 Agriculture, Hunting, Forestry and Fishing","8659","2,3,4"
"1989","Women","5 Construction","10729","2,3,4"
"1989","Women","9 Community, Social and Personal Services","60229","2,3,4"

"1988","Men","1 Agriculture, Hunting, Forestry and Fishing","384","2,3,4"
"1988","Men","5 Construction","214026","2,3,4"
"1988","Men","9 Community, Social and Personal Services","476436","2,3,4"
"1988","Women","1 Agriculture, Hunting, Forestry and Fishing","9148","2,3,4"
"1988","Women","5 Construction","12883","2,3,4"
"1988","Women","9 Community, Social and Personal Services","579462","2,3,4"


